ID_Entidad,Distrito,ID_Circunscripcion,Porcentaje1,Porcentaje2,Porcentaje3,Promedio1
24,6,2,0.2629463827502625,0.1064201518399531,0.9902176745067387,3.557071460716739
24,7,2,0.8418632911392405,0.3438291362498793,0.5747037974683544,3.83793417721519
25,1,1,0.4356681165901053,0.20134880842626388,0.9633806252286679,3.4313996503922923
25,2,1,0.39936887436887436,0.15929195995464634,0.9673225423225423,3.419728244728245
25,3,1,0.6285547692878535,0.3158979410640104,0.9229811030717447,3.6027934589594763
25,4,1,0.5873612906100985,0.27271764422691164,0.9057266366593877,3.6423280894870538
25,5,1,0.21381932263373848,0.10173452780669472,0.9921259842519685,3.4304668000896354
25,6,1,0.43397275975996225,0.2208730261680055,0.9664722540624368,3.3933905333423233
25,7,1,0.3400543284933545,0.18480657989877078,0.9735957054619538,3.5672072567344695
26,1,1,0.32961851693099015,0.19365757751113777,0.9475525075010716,3.3062323189027003
26,2,1,0.2767336404992418,0.10980582036981816,0.9609311209611571,3.3565481745013415
26,3,1,0.2698864413736489,0.1324758548822019,0.9767341633602408,3.3790190176494734
26,4,1,0.4476166854980204,0.19505853190292127,0.9082959002764994,3.2964146939675367
26,5,1,0.22943847217290797,0.09944077751855282,0.9792326113725817,3.271804247153833
26,6,1,0.35998584561398334,0.12096091026094503,0.9784071892485643,3.2102884693358495
26,7,1,0.5860782657657657,0.1985969835145563,0.7602457368082368,3.5915781853281854
27,1,3,0.724815673929252,0.2666150434405394,0.8353181178029989,3.5384910115152017
27,2,3,0.709438347973286,0.2920251412373251,0.8788687794237782,3.6397982128870883
27,3,3,0.7232272519812456,0.261713123446824,0.9276274843367495,3.666393510642712
27,4,3,0.3634339718939467,0.13466613774133585,0.979338442991526,3.4394188717100342
27,5,3,0.6135784867190268,0.19652152384489216,0.9143391654785353,3.690923775537956
27,6,3,0.528643199686817,0.20852362074972458,0.9607379375591296,3.5155775943627052
28,1,2,0.36205993599068953,0.14230369581671007,0.9876802859636726,3.523222079055655
28,2,2,0.34530072888080965,0.13579065607188917,0.9776703780741466,2.983857999335792
28,3,2,0.5033025760928562,0.20720794849114435,0.8670201661726024,3.33956828524905
28,4,2,0.349704591783851,0.14475471597106512,0.9742338389247832,3.4052793421552705
28,5,2,0.3873530214892719,0.1485542986715177,0.911179882665431,3.387766754102159
28,6,2,0.6366704890138344,0.2996279273363975,0.7773914330102834,3.222229414810979
28,7,2,0.36740976894285693,0.14235507496501215,0.9603756925072474,3.2907631840096268
28,8,2,0.22906285592255124,0.09606257008455989,0.9909506691343963,3.11705402904328
28,9,2,0.4983903218584255,0.131816003522951,0.9843741555945,3.317982845540381
29,1,4,0.6284945159295042,0.18526338534673026,0.9557005584256056,3.8821469330150626
29,2,4,0.4391499460240706,0.14046104504798243,0.9355411421485096,4.000615593244533
29,3,4,0.5403694759509341,0.1364089248513028,0.9724244352806815,3.8954430136962417
30,1,3,0.6807320793085918,0.33582413564589475,0.6995808193686391,3.3288409703504045
